epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7641,1.95165,9.0524,2.26858,0.01926,0.28354,0.01583,0.00279,3.42604,338.509,16.6775,0.0631,0.0041,0.0041
2,25.6949,1.48773,4.66582,1.95396,0.00232,0.10532,0.00123,0.00036,3.68832,inf,40.4564,0.0252178,0.00821783,0.00821783
3,35.4795,1.44495,3.86399,1.8541,0.00018,0.0266,0.0001,3e-05,3.62613,inf,9.54428,0.009802,0.009802,0.009802
4,45.2807,1.32481,3.5132,1.7643,1e-05,0.00133,0,0,3.68236,429.754,5.03996,0.009703,0.009703,0.009703
5,54.8734,1.22741,2.96123,1.6577,0.00839,0.04508,0.0022,0.00053,4.33331,78.9387,9.18064,0.009604,0.009604,0.009604
6,64.5252,1.14465,2.68712,1.5962,0.2591,0.25465,0.20646,0.08515,3.22109,13.88,6.36841,0.009505,0.009505,0.009505
7,74.2218,1.11353,2.52339,1.55541,0.00768,0.02958,0.00405,0.00088,4.04607,29.238,8.10263,0.009406,0.009406,0.009406
8,83.9297,1.06002,2.36351,1.47681,0.28825,0.14266,0.15472,0.04611,2.74646,12.0797,3.77771,0.009307,0.009307,0.009307
9,93.649,1.00933,2.18672,1.43358,0.7999,0.75693,0.82504,0.56111,1.18812,3.36741,1.58085,0.009208,0.009208,0.009208
10,103.385,1.0003,2.08258,1.4022,0.67293,0.79329,0.79793,0.53526,1.24032,3.51808,1.68971,0.009109,0.009109,0.009109
11,113.141,0.92976,1.99864,1.34533,0.89493,0.90304,0.93389,0.66444,1.09503,2.38621,1.44603,0.00901,0.00901,0.00901
12,122.837,0.90354,1.81467,1.3395,0.87334,0.95352,0.96066,0.70726,1.02639,2.10754,1.40762,0.008911,0.008911,0.008911
13,132.638,0.91078,1.82076,1.32164,0.44862,0.19693,0.27996,0.08607,2.77598,13.331,3.68255,0.008812,0.008812,0.008812
14,142.475,0.8613,1.76749,1.29813,0.49086,0.58757,0.59581,0.30799,2.0747,5.81972,3.25064,0.008713,0.008713,0.008713
15,152.242,0.86073,1.75312,1.26539,0.9238,0.94451,0.96653,0.74862,0.93899,1.89009,1.28867,0.008614,0.008614,0.008614
16,162.125,0.80358,1.59723,1.20263,0.92451,0.97547,0.97739,0.76307,0.87462,1.7369,1.25039,0.008515,0.008515,0.008515
