epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1493,2.26524,101.778,2.12247,0,0,0,0,nan,nan,nan,0.0555357,0.00494048,0.00494048
2,97.1832,2.28955,23.1778,2.69915,0,0,0,0,nan,nan,nan,0.0104373,0.00984207,0.00984207
3,144.71,2.20231,15.1292,2.41155,2e-05,0.00222,1e-05,0,3.24887,inf,9.44258,0.009802,0.009802,0.009802
4,189.654,2.23352,14.8608,2.28949,0.31481,0.06486,0.16055,0.05254,2.94955,1353.76,6.58021,0.009703,0.009703,0.009703
5,236.522,2.0894,10.887,2.06677,0.28409,0.00333,0.13374,0.06537,2.74822,inf,2.58697,0.009604,0.009604,0.009604
6,282.329,2.01837,9.18363,1.9958,0.3064,0.32717,0.32897,0.12944,2.10086,17.0313,2.01859,0.009505,0.009505,0.009505
7,328.549,1.86127,8.14927,1.88095,0.69091,0.72784,0.75848,0.35577,1.84413,8.44436,1.85764,0.009406,0.009406,0.009406
8,374.962,1.83055,7.68534,1.80917,0.13176,0.1605,0.15128,0.05462,2.03208,22.6867,1.92567,0.009307,0.009307,0.009307
9,421.2,1.7902,6.95343,1.79119,0.77286,0.78908,0.84743,0.39564,1.76282,7.46278,1.7453,0.009208,0.009208,0.009208
10,467.873,1.75115,6.70533,1.74377,0.88158,0.67615,0.8069,0.38148,1.82714,8.09072,1.76128,0.009109,0.009109,0.009109
11,514.508,1.6706,6.45484,1.65956,0.86402,0.878,0.91581,0.4573,1.68351,6.20995,1.67753,0.00901,0.00901,0.00901
12,561.251,1.63841,6.30956,1.64502,0.76345,0.95419,0.94134,0.48698,1.60399,5.87618,1.61126,0.008911,0.008911,0.008911
13,608.627,1.62533,5.93488,1.6131,0.9041,0.93244,0.94683,0.48489,1.60396,5.64602,1.60016,0.008812,0.008812,0.008812
14,655.094,1.71425,5.97655,1.71497,0.78444,0.95776,0.94595,0.46344,1.69254,5.73183,1.68818,0.008713,0.008713,0.008713
15,701.878,1.66831,6.1133,1.69309,0.78077,0.9597,0.95015,0.42599,1.81409,6.15901,1.73858,0.008614,0.008614,0.008614
16,748.843,1.76617,6.01498,1.73984,0.87154,0.94012,0.93155,0.45968,1.69632,5.77917,1.66994,0.008515,0.008515,0.008515
17,795.173,1.64859,5.7346,1.65113,0.85416,0.87754,0.94964,0.49216,1.60487,5.76576,1.59841,0.008416,0.008416,0.008416
