epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3539,2.02126,14.8851,1.47753,0,0,0,0,nan,nan,nan,0.0554839,0.00494624,0.00494624
2,74.7133,1.92033,7.33912,1.41452,0.24183,0.01587,0.01029,0.00531,3.01192,51.0464,4.62826,0.0103854,0.00984777,0.00984777
3,108.017,1.75322,6.41449,1.33081,0.11111,0.00067,0.05589,0.02236,2.19536,18.3477,1.64705,0.009802,0.009802,0.009802
4,141.575,1.67801,5.29759,1.27145,0.48871,0.34401,0.38852,0.19846,1.67234,5.5937,1.30003,0.009703,0.009703,0.009703
5,175.046,1.6621,5.18936,1.28449,0.09259,0.00149,0.0469,0.01559,1.97456,14.454,1.46337,0.009604,0.009604,0.009604
6,208.406,1.63513,4.86576,1.24442,0.4454,0.76569,0.62329,0.31487,1.53095,5.6395,1.2153,0.009505,0.009505,0.009505
7,241.932,1.52757,3.98478,1.18559,0.59769,0.72611,0.64523,0.34149,1.54717,3.91717,1.21208,0.009406,0.009406,0.009406
8,275.445,1.58956,3.93416,1.20925,0.11111,0.00074,0.05592,0.03355,2.69436,17.5292,1.88876,0.009307,0.009307,0.009307
9,309.068,1.49263,3.59782,1.16984,0.63245,0.70489,0.6483,0.35837,1.49082,4.48913,1.18755,0.009208,0.009208,0.009208
10,342.74,1.49455,3.36041,1.17798,0.70956,0.75957,0.72008,0.40063,1.52163,3.71715,1.20668,0.009109,0.009109,0.009109
11,376.469,1.4671,3.1599,1.17072,0.7294,0.78713,0.80896,0.44577,1.48196,3.5349,1.2052,0.00901,0.00901,0.00901
12,410.309,1.48247,3.00159,1.17055,0.85402,0.90173,0.93644,0.51185,1.4184,2.83523,1.16177,0.008911,0.008911,0.008911
13,444.011,1.51261,2.95596,1.17479,0.75602,0.87673,0.8888,0.48889,1.42536,3.11672,1.16613,0.008812,0.008812,0.008812
14,477.547,1.45655,2.82401,1.1712,0.89846,0.86859,0.93348,0.53405,1.4021,2.77477,1.16043,0.008713,0.008713,0.008713
15,511.328,1.4777,2.83033,1.16259,0.90901,0.90183,0.95571,0.52119,1.50968,2.74593,1.19223,0.008614,0.008614,0.008614
