epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6423,3.05133,14.1894,3.2407,0.29184,0.03333,0.03827,0.01102,3.03158,18.8711,11.3543,0.0802,0.0022,0.0022
2,17.9248,1.84018,6.77397,2.26771,0,0,0,0,3.74109,inf,1401.22,0.0594554,0.00445545,0.00445545
3,23.1327,1.65349,5.70585,2.03983,0,0,0,0,3.87977,inf,153.772,0.0386654,0.00666536,0.00666536
4,28.2839,1.58759,4.6224,2.02694,4e-05,0.00278,2e-05,2e-05,3.40522,94.6864,4.87851,0.0178297,0.00882973,0.00882973
5,33.3734,1.56457,4.33528,2.02137,0,0,0,0,3.22426,19.1763,7.62368,0.009604,0.009604,0.009604
6,38.4714,1.57064,4.08528,1.87645,0,0,0,0,3.10693,12.6605,5.40276,0.009505,0.009505,0.009505
7,43.6495,1.47775,3.7654,1.852,0.35742,0.12491,0.06519,0.01936,3.13016,13.0138,4.42239,0.009406,0.009406,0.009406
8,48.8715,1.31595,3.62393,1.69514,0.08485,0.13373,0.06505,0.02016,3.25815,11.0461,4.91798,0.009307,0.009307,0.009307
9,54.0175,1.25702,3.15984,1.72306,0.08246,0.08305,0.05758,0.01373,3.22803,11.0405,4.81102,0.009208,0.009208,0.009208
10,58.9502,1.32638,3.42119,1.76881,0.16467,0.09111,0.10239,0.05223,2.91409,13.6137,3.756,0.009109,0.009109,0.009109
11,63.849,1.35213,3.13611,1.68105,0.2394,0.04468,0.1307,0.06341,3.1661,12.7184,4.65657,0.00901,0.00901,0.00901
12,68.9375,1.22966,2.8932,1.63849,0.00237,0.01389,0.00125,0.00037,3.41735,12.6461,6.33354,0.008911,0.008911,0.008911
13,73.8843,1.21086,2.84739,1.5971,0.36705,0.3983,0.26605,0.1057,2.35064,9.37838,2.836,0.008812,0.008812,0.008812
14,78.8022,1.18531,2.66888,1.56604,0.17563,0.29531,0.22161,0.07848,2.89475,9.94302,4.47747,0.008713,0.008713,0.008713
