epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6538,2.92701,66.7785,2.44693,0,0,0,0,nan,nan,nan,0.0604,0.0044,0.0044
2,38.0629,2.89426,107.861,2.43372,0,0,0,0,nan,nan,nan,0.0198119,0.00881189,0.00881189
3,55.7142,2.52882,15.3667,2.30248,0,0,0,0,nan,nan,nan,0.009802,0.009802,0.009802
4,73.2848,2.44717,13.76,2.17091,0,0,0,0,nan,nan,nan,0.009703,0.009703,0.009703
5,91.1471,2.39494,11.3846,2.12096,0,0,0,0,nan,nan,nan,0.009604,0.009604,0.009604
6,108.948,2.19317,10.24,1.87672,0,0,0,0,nan,nan,nan,0.009505,0.009505,0.009505
7,127.007,2.22422,10.7526,1.96884,0,0,0,0,nan,nan,nan,0.009406,0.009406,0.009406
8,145.191,2.16005,7.91878,1.82227,0.10654,0.18912,0.0987,0.03541,nan,nan,nan,0.009307,0.009307,0.009307
9,163.319,2.13826,7.6661,1.8014,0.0873,0.10938,0.0743,0.02933,2.38348,nan,3.0289,0.009208,0.009208,0.009208
10,181.465,2.0585,6.75859,1.77109,0.17081,0.34903,0.15831,0.06111,2.20959,6.50503,1.84549,0.009109,0.009109,0.009109
11,199.81,2.03727,6.12068,1.74583,0.16743,0.29525,0.22392,0.11227,2.10814,9.76637,1.77918,0.00901,0.00901,0.00901
12,218.003,1.89468,8.00962,1.66608,0,0,0,0,2.42498,18.6305,2.13273,0.008911,0.008911,0.008911
13,236.323,1.92067,5.91982,1.67456,0,0,0,0,2.27978,12.9709,1.95237,0.008812,0.008812,0.008812
14,254.552,1.79581,5.25917,1.55673,0,0,0,0,2.27174,14.1635,1.97086,0.008713,0.008713,0.008713
15,272.293,1.79142,5.24355,1.58285,0,0,0,0,2.52882,14.6158,2.37189,0.008614,0.008614,0.008614
